time_ms,cpu_usage,workers_active
11210,100.00,8
11223,100.00,8
11236,100.00,8
11248,100.00,8
11260,100.00,8
11273,100.00,8
11285,100.00,8
11298,100.00,8
11311,100.00,8
11323,100.00,8
11335,100.00,8
11348,100.00,8
11360,100.00,8
11373,100.00,8
11386,100.00,8
11398,100.00,8
11411,100.00,8
11421,100.00,8
11433,100.00,8
11446,100.00,8
11458,100.00,8
11471,100.00,8
11483,100.00,8
11493,100.00,8
11506,100.00,8
11519,100.00,8
11531,100.00,8
11544,100.00,8
11556,100.00,8
11569,100.00,8
11581,100.00,8
11594,100.00,8
11606,100.00,8
11618,100.00,8
11631,100.00,8
11642,100.00,8
11655,100.00,8
11667,100.00,8
11680,100.00,8
11690,100.00,8
11702,100.00,8
11715,100.00,8
11727,100.00,8
11740,100.00,8
11752,100.00,8
11765,100.00,8
11777,100.00,8
11790,80.00,8
11802,80.00,8
11815,80.00,8
11827,80.00,8
11840,100.00,8
11852,100.00,8
11865,100.00,8
11877,100.00,8
11890,100.00,8
11900,100.00,8
11911,100.00,8
11924,100.00,8
11935,100.00,8
11948,100.00,8
11960,100.00,8
11973,100.00,8
11985,100.00,8
11998,100.00,8
12010,100.00,8
12022,100.00,8
12033,100.00,8
12045,100.00,8
12057,100.00,8
12069,100.00,8
12081,100.00,8
12094,100.00,8
12106,100.00,8
12119,100.00,8
12132,100.00,8
12144,100.00,8
12157,100.00,8
12169,100.00,8
12182,100.00,8
12194,100.00,8
12207,100.00,8
12219,100.00,8
12231,100.00,8
12244,100.00,8
12254,100.00,8
12266,100.00,8
12278,100.00,8
12291,100.00,7
12303,100.00,8
12316,100.00,8
12328,100.00,8
12340,100.00,8
12352,100.00,8
12365,100.00,8
12377,100.00,8
12390,100.00,8
12402,100.00,8
12415,100.00,8
12427,100.00,8
12440,100.00,8
12452,100.00,8
12465,100.00,8
12477,100.00,8
12490,100.00,8
12502,100.00,8
12515,100.00,8
12525,100.00,8
12537,100.00,8
12549,100.00,8
12562,100.00,8
12573,100.00,8
12585,100.00,8
12598,100.00,8
12611,100.00,8
12623,100.00,8
12635,100.00,8
12646,100.00,8
12658,100.00,8
12671,100.00,8
12682,100.00,8
12694,100.00,8
12706,100.00,8
12719,100.00,8
12730,100.00,8
12743,100.00,8
12755,100.00,8
12768,100.00,8
12780,100.00,8
12793,100.00,8
12805,100.00,8
12816,100.00,8
12829,100.00,8
12841,100.00,8
12854,100.00,8
12866,100.00,8
12878,100.00,8
12890,100.00,8
12902,100.00,8
12915,100.00,8
12927,100.00,8
12940,100.00,8
12952,100.00,8
12965,100.00,8
12977,100.00,8
12990,100.00,8
13002,100.00,8
13015,100.00,8
13027,100.00,8
13040,100.00,8
13052,100.00,8
13065,100.00,8
13078,100.00,8
13090,100.00,8
13102,100.00,8
13115,100.00,8
13127,100.00,8
13140,100.00,8
13150,100.00,8
13163,100.00,8
13176,100.00,8
13188,100.00,8
13199,100.00,8
13211,100.00,8
13224,100.00,8
13236,100.00,8
13249,100.00,8
13261,100.00,8
13273,100.00,8
13286,100.00,8
13297,100.00,8
13308,100.00,8
13319,100.00,8
13331,100.00,8
13344,100.00,8
13356,100.00,8
13369,100.00,8
13381,100.00,8
13394,100.00,8
13407,100.00,8
13419,100.00,8
13432,100.00,8
13444,100.00,8
13457,100.00,8
13469,100.00,8
13481,100.00,8
13494,100.00,8
13506,100.00,8
13518,100.00,8
13529,100.00,8
13541,100.00,8
13552,100.00,8
13563,80.00,8
13575,80.00,8
13588,100.00,8
13600,100.00,8
13612,100.00,8
13624,100.00,8
13637,100.00,8
13650,100.00,8
13662,100.00,8
13674,100.00,8
13687,100.00,8
13700,100.00,8
13712,100.00,8
13724,100.00,8
13737,100.00,8
13750,100.00,8
13760,100.00,8
13773,100.00,8
13785,100.00,8
13798,100.00,8
13810,100.00,8
13823,100.00,8
13835,100.00,8
13848,100.00,8
13860,100.00,8
13873,100.00,8
13885,100.00,8
13898,100.00,8
13910,100.00,8
13922,100.00,8
13935,100.00,8
13948,100.00,8
13958,100.00,8
13970,80.00,8
13982,80.00,8
13994,80.00,8
14006,80.00,8
14019,80.00,8
14031,100.00,8
14044,100.00,8
14055,100.00,8
14068,100.00,8
14081,100.00,8
14093,100.00,8
14106,100.00,8
14118,100.00,8
14131,100.00,8
14143,100.00,8
14156,100.00,8
14167,100.00,8
14180,100.00,8
14192,100.00,8
14205,100.00,8
14215,100.00,8
14227,100.00,8
14240,100.00,8
14252,100.00,8
14265,100.00,8
14277,100.00,8
14290,100.00,8
14302,100.00,8
14315,100.00,8
14327,100.00,8
14340,100.00,8
14352,100.00,8
14363,100.00,8
14374,100.00,8
14386,100.00,8
14399,100.00,8
14411,100.00,8
14422,100.00,8
14433,100.00,8
14444,100.00,8
14457,100.00,8
14469,100.00,8
14481,100.00,8
14494,100.00,8
14506,100.00,8
14519,100.00,8
14531,100.00,8
14544,100.00,8
14556,100.00,8
14569,100.00,8
14581,100.00,8
14594,100.00,8
14607,100.00,8
14619,100.00,8
14631,100.00,8
14644,100.00,8
14656,100.00,8
14668,100.00,8
14681,100.00,8
14691,100.00,8
14704,100.00,8
14715,100.00,8
14726,100.00,8
14739,100.00,8
14751,100.00,8
14764,100.00,8
14776,100.00,8
14789,100.00,8
14799,100.00,8
14812,100.00,8
14822,100.00,8
14833,100.00,8
14845,100.00,8
14857,100.00,8
14870,100.00,8
14882,100.00,8
14895,100.00,8
14906,100.00,8
14919,100.00,8
14932,100.00,8
14944,100.00,8
14956,100.00,8
14969,100.00,8
14981,100.00,8
14993,100.00,8
15006,100.00,8
15019,100.00,8
15031,100.00,8
15044,100.00,8
15056,100.00,8
15069,100.00,8
15081,100.00,8
15094,100.00,8
15105,100.00,8
15117,100.00,8
15130,100.00,8
15143,100.00,8
15157,100.00,8
15169,100.00,8
15181,100.00,8
15194,100.00,8
15206,100.00,8
15219,100.00,8
15231,100.00,8
15244,100.00,8
15256,100.00,8
15269,100.00,8
15281,100.00,8
15292,100.00,8
15305,100.00,8
15317,100.00,8
15329,100.00,8
15340,100.00,8
15352,100.00,8
15365,100.00,8
15377,100.00,8
15390,100.00,8
15402,100.00,8
15415,100.00,8
15428,100.00,8
15440,100.00,8
